iter	Passed	Remaining
926	8195	645
927	8203	636
928	8212	627
929	8219	618
930	8228	609
931	8235	600
932	8243	591
933	8250	583
934	8259	574
935	8266	565
936	8276	556
937	8289	547
938	8304	539
939	8319	531
940	8333	522
941	8347	513
942	8362	505
943	8373	496
944	8395	488
945	8405	479
946	8419	471
947	8434	462
948	8448	454
949	8460	445
950	8468	436
951	8477	427
952	8485	418
953	8494	409
954	8502	400
955	8510	391
956	8518	382
957	8525	373
958	8533	364
959	8541	355
960	8549	346
961	8557	338
962	8565	329
963	8572	320
964	8579	311
965	8587	302
966	8597	293
967	8605	284
968	8613	275
969	8621	266
970	8629	257
971	8636	248
972	8644	239
973	8653	230
974	8661	222
975	8668	213
976	8677	204
977	8685	195
978	8693	186
979	8703	177
980	8712	168
981	8723	159
982	8735	151
983	8747	142
984	8763	133
985	8778	124
986	8792	115
987	8807	106
988	8824	98
989	8838	89
990	8848	80
991	8860	71
992	8875	62
993	8897	53
994	8926	44
995	8941	35
996	8959	26
997	8975	17
998	8988	8
999	8999	0
